CDP Name, Total Housing Units, Seasonal Housing Units,  % Seasonal,Occupied Housing Units (Households), Owner Occupied Units, Renter Occupied Units, % Owner Occupied, Ave. Household Size,Ave. Owner Household Size,Ave. Renter Household Size, Owner Vacancy Rate, Renter Vacancy Rate,Pop. In Owner Occupied Units,Pop. In Renter Occupied Units," Vacant Housing Units Sold, Not Occupied", Vacant Housing Units For Sale Only," Vacant Housing Units Rented, Not Occupied", Vacant Housing Units For Rent
Eastport CDP,865,81,9.4%,702,594,108,84.6%,0.42,0.48,0.06,0.0%,0.0%,"1,532",286,6,18,0,17
Eatons Neck CDP,575,41,7.1%,519,488,31,94.0%,0.12,0.13,0.00,0.0%,0.0%,"1,344",62,0,5,0,3
Elwood CDP,"3,585",14,0.4%,"3,512","3,229",283,91.9%,0.25,0.27,0.04,0.0%,0.0%,"10,200",875,10,23,0,3
Farmingville CDP,"4,884",15,0.3%,"4,707","3,902",805,82.9%,0.51,0.61,0.01,0.2%,0.0%,"12,945","2,395",7,38,6,28
Fire Island CDP,"3,395","3,256",95.9%,131,91,40,69.5%,0.69,0.99,0.03,0.0%,0.0%,195,90,1,1,0,5
Fishers Island CDP,660,527,79.8%,120,58,62,48.3%,1.01,2.07,0.02,1.6%,0.0%,116,120,1,4,1,4
Flanders CDP,"1,684",224,13.3%,"1,345",916,429,68.1%,1.30,1.91,0.01,0.1%,0.0%,"2,698","1,745",5,29,1,32
Fort Salonga CDP,"3,484",48,1.4%,"3,370","3,082",288,91.5%,0.21,0.23,0.02,0.0%,0.0%,"9,116",715,5,17,0,12
Gilgo CDP,135,79,58.5%,53,53,0,100.0%,0.04,0.00,-,0.0%,-,131,0,2,1,0,0
Gordon Heights CDP,"1,182",4,0.3%,"1,070",807,263,75.4%,1.00,1.33,0.00,0.0%,0.0%,"2,873","1,073",1,26,0,30
Great River CDP,517,1,0.2%,503,445,58,88.5%,0.21,0.24,0.00,0.0%,0.0%,"1,383",106,0,3,0,2
Greenlawn CDP,"4,722",18,0.4%,"4,560","3,546","1,014",77.8%,0.47,0.61,0.01,0.0%,0.0%,"11,276","2,151",8,54,0,32
Greenport village,"1,191",278,23.3%,820,390,430,47.6%,1.47,3.08,0.02,0.7%,0.0%,864,"1,201",7,10,3,39
Greenport West CDP,"1,651",577,34.9%,960,764,196,79.6%,0.55,0.68,0.04,0.5%,0.0%,"1,493",517,7,35,4,21
Halesite CDP,"1,070",7,0.7%,"1,008",865,143,85.8%,0.29,0.34,0.02,0.0%,0.0%,"2,208",290,3,15,0,23
Hampton Bays CDP,"7,873","2,265",28.8%,"5,079","3,381","1,698",66.6%,0.95,1.43,0.01,0.4%,0.0%,"8,606","4,826",24,119,14,183
Hauppauge CDP,"7,566",67,0.9%,"7,333","6,016","1,317",82.0%,0.39,0.47,0.01,0.1%,0.0%,"17,805","2,817",15,52,4,44
Head of the Harbor village,551,13,2.4%,511,447,64,87.5%,0.26,0.29,0.03,0.0%,0.0%,"1,343",129,2,11,0,2
Holbrook CDP,"9,820",37,0.4%,"9,550","7,361","2,189",77.1%,0.48,0.62,0.01,0.2%,0.0%,"22,475","4,576",11,36,13,108
Holtsville CDP,"6,929",17,0.2%,"6,725","5,477","1,248",81.4%,0.43,0.53,0.01,0.0%,0.0%,"16,763","2,904",11,41,2,81
Huntington Bay village,578,22,3.8%,534,511,23,95.7%,0.11,0.10,0.30,0.2%,0.0%,"1,374",51,7,5,1,1
Huntington CDP,"7,482",73,1.0%,"7,170","5,758","1,412",80.3%,0.38,0.47,0.02,0.2%,0.0%,"15,212","2,695",24,64,12,60
Huntington Station CDP,"10,523",24,0.2%,"10,067","6,999","3,068",69.5%,1.08,1.55,0.00,0.1%,0.0%,"21,954","10,883",11,91,7,145
Islandia village,"1,088",3,0.3%,"1,026",920,106,89.7%,0.36,0.39,0.05,0.0%,0.0%,"2,769",360,5,25,0,9
Islip CDP,"6,664",27,0.4%,"6,437","5,187","1,250",80.6%,0.44,0.54,0.01,0.1%,0.0%,"15,809","2,822",9,80,6,55
Islip Terrace CDP,"1,764",6,0.3%,"1,703","1,512",191,88.8%,0.33,0.36,0.03,0.0%,0.0%,"4,840",549,5,17,0,14
Jamesport CDP,"1,169",392,33.5%,715,580,135,81.1%,0.48,0.59,0.03,0.8%,0.0%,"1,354",341,4,17,5,13
Kings Park CDP,"6,469",31,0.5%,"6,212","5,046","1,166",81.2%,0.35,0.43,0.01,0.2%,0.0%,"14,692","2,169",10,36,10,69
Lake Grove village,"3,956",39,1.0%,"3,814","3,128",686,82.0%,0.44,0.53,0.01,0.0%,0.0%,"9,499","1,652",10,27,1,37
Lake Ronkonkoma CDP,"7,199",23,0.3%,"6,932","5,004","1,928",72.2%,0.58,0.80,0.01,0.5%,0.0%,"15,727","3,995",14,34,27,78
Laurel CDP,810,253,31.2%,524,434,90,82.8%,0.47,0.57,0.00,0.2%,0.0%,"1,141",246,0,14,1,7
Lindenhurst village,"9,665",35,0.4%,"9,316","7,385","1,931",79.3%,0.48,0.61,0.01,0.1%,0.0%,"22,735","4,489",19,86,5,100
Lloyd Harbor village,"1,262",49,3.9%,"1,162","1,107",55,95.3%,0.13,0.13,0.15,0.0%,0.0%,"3,468",144,8,11,0,2
Manorville CDP,"5,303",74,1.4%,"5,000","4,074",926,81.5%,0.34,0.41,0.01,0.1%,0.0%,"12,547","1,676",11,69,3,97
Mastic Beach CDP,"4,889",213,4.4%,"4,231","3,208","1,023",75.8%,0.82,1.07,0.03,0.2%,0.0%,"9,455","3,447",34,139,6,78
Mastic CDP,"4,847",26,0.5%,"4,526","3,629",897,80.2%,0.71,0.88,0.02,0.1%,0.0%,"12,259","3,189",15,80,5,72
Mattituck CDP,"2,495",694,27.8%,"1,693","1,421",272,83.9%,0.41,0.48,0.03,0.1%,0.0%,"3,521",686,8,34,2,12
Medford CDP,"8,171",48,0.6%,"7,821","6,505","1,316",83.2%,0.45,0.53,0.02,0.1%,0.0%,"20,290","3,458",23,80,4,89
Melville CDP,"7,194",133,1.8%,"6,908","5,891","1,017",85.3%,0.33,0.38,0.01,0.1%,0.0%,"16,256","2,239",15,49,4,56
Middle Island CDP,"4,479",29,0.6%,"4,217","3,250",967,77.1%,0.55,0.72,0.01,0.1%,0.0%,"7,833","2,329",10,63,2,86
Miller Place CDP,"4,141",58,1.4%,"4,000","3,664",336,91.6%,0.20,0.22,0.01,0.1%,0.0%,"11,495",798,4,26,2,16
Montauk CDP,"4,666","2,942",63.1%,"1,422","1,043",379,73.3%,0.61,0.83,0.02,0.3%,0.0%,"2,406",864,8,63,3,98
Moriches CDP,"1,475",38,2.6%,"1,322",658,664,49.8%,0.97,1.95,0.01,0.4%,0.0%,"1,549","1,282",4,19,3,74
Mount Sinai CDP,"4,285",54,1.3%,"4,080","3,827",253,93.8%,0.17,0.18,0.03,0.0%,0.0%,"11,396",688,7,89,1,6
Napeague CDP,762,617,81.0%,107,90,17,84.1%,0.30,0.34,0.06,1.9%,0.0%,169,31,1,11,2,7
Nesconset CDP,"4,711",27,0.6%,"4,564","3,769",795,82.6%,0.37,0.44,0.02,0.3%,0.0%,"11,468","1,671",15,21,10,44
New Suffolk CDP,307,115,37.5%,177,144,33,81.4%,0.43,0.51,0.09,0.7%,0.0%,276,73,3,2,1,3
Nissequogue village,646,28,4.3%,573,529,44,92.3%,0.18,0.19,0.05,0.4%,0.0%,"1,527",101,2,20,2,2
North Amityville CDP,"5,636",8,0.1%,"5,333","3,232","2,101",60.6%,1.05,1.73,0.00,0.2%,0.0%,"12,134","5,594",5,56,6,108
North Babylon CDP,"6,378",11,0.2%,"6,136","5,085","1,051",82.9%,0.39,0.47,0.01,0.1%,0.0%,"15,071","2,395",13,59,3,100
North Bay Shore CDP,"4,627",4,0.1%,"4,395","3,106","1,289",70.7%,1.13,1.60,0.01,0.2%,0.0%,"13,946","4,968",14,76,6,62
North Bellport CDP,"3,652",16,0.4%,"3,362","2,006","1,356",59.7%,1.31,2.20,0.00,0.2%,0.0%,"7,083","4,404",4,43,4,120
North Great River CDP,"1,367",2,0.1%,"1,264","1,148",116,90.8%,0.24,0.26,0.03,0.0%,0.0%,"3,696",303,3,2,0,6
North Haven village,739,375,50.7%,332,286,46,86.1%,0.39,0.43,0.11,0.0%,0.0%,710,123,5,8,0,6
North Lindenhurst CDP,"3,898",8,0.2%,"3,787","2,628","1,159",69.4%,0.75,1.09,0.00,0.2%,0.0%,"8,785","2,854",3,22,5,52
North Patchogue CDP,"2,432",13,0.5%,"2,300","1,942",358,84.4%,0.50,0.59,0.01,0.0%,0.0%,"5,991","1,139",5,41,0,25
North Sea CDP,"3,477","1,263",36.3%,"1,771","1,296",475,73.2%,0.76,1.02,0.04,0.7%,0.0%,"3,132","1,326",17,56,10,74
Northampton CDP,239,31,13.0%,191,144,47,75.4%,0.91,1.19,0.02,0.0%,0.0%,391,172,1,4,0,5
Northport village,"3,066",53,1.7%,"2,921","2,217",704,75.9%,0.42,0.55,0.01,0.1%,0.0%,"6,129","1,220",4,21,3,35
Northville CDP,772,203,26.3%,531,482,49,90.8%,0.27,0.28,0.16,0.0%,0.0%,"1,190",133,8,8,0,7
Northwest Harbor CDP,"3,394","1,909",56.2%,"1,313","1,093",220,83.2%,0.51,0.60,0.05,0.4%,0.0%,"2,649",657,10,39,4,56
Noyack CDP,"2,881","1,209",42.0%,"1,510","1,152",358,76.3%,0.56,0.73,0.02,0.4%,0.0%,"2,728",840,8,45,5,58
Oak Beach-Captree CDP,241,103,42.7%,129,120,9,93.0%,0.16,0.14,0.44,0.0%,0.0%,269,17,4,5,0,0
Oakdale CDP,"3,280",20,0.6%,"3,116","2,482",634,79.7%,0.34,0.42,0.01,0.2%,0.0%,"6,695","1,050",7,62,6,54
Ocean Beach village,607,562,92.6%,39,36,3,92.3%,0.15,0.17,0.00,0.0%,0.0%,73,6,0,1,0,5
Old Field village,369,30,8.1%,325,308,17,94.8%,0.13,0.13,0.18,0.0%,0.0%,868,39,3,3,0,0
Orient CDP,772,377,48.8%,353,297,56,84.1%,0.33,0.39,0.02,0.0%,0.0%,628,115,1,5,0,16
Patchogue village,"5,023",49,1.0%,"4,694","2,563","2,131",54.6%,1.08,1.97,0.00,0.3%,0.0%,"6,677","5,056",8,67,9,146
Peconic CDP,479,179,37.4%,273,229,44,83.9%,0.52,0.62,0.00,0.0%,0.0%,540,143,0,4,0,5
Poquott village,380,12,3.2%,353,315,38,89.2%,0.22,0.24,0.03,0.0%,0.0%,876,77,1,5,0,4
Port Jefferson Station CDP,"2,949",13,0.4%,"2,812","2,005",807,71.3%,0.67,0.94,0.00,0.0%,0.0%,"5,854","1,886",4,39,0,46
Port Jefferson village,"3,270",50,1.5%,"3,090","2,157",933,69.8%,0.63,0.90,0.01,0.3%,0.0%,"5,481","1,932",7,14,6,76
Quiogue CDP,583,218,37.4%,307,233,74,75.9%,0.78,1.02,0.03,0.4%,0.0%,577,238,2,12,1,11
Quogue village,"1,623","1,075",66.2%,424,350,74,82.5%,0.35,0.41,0.08,0.0%,0.0%,817,142,6,26,0,32
Remsenburg-Speonk CDP,"1,624",550,33.9%,984,832,152,84.6%,0.42,0.49,0.03,0.1%,0.0%,"2,225",405,5,27,1,23
Ridge CDP,"6,235",139,2.2%,"5,714","4,988",726,87.3%,0.28,0.32,0.03,0.1%,0.0%,"11,563","1,607",20,70,3,63
Riverhead CDP,"5,295",188,3.6%,"4,827","2,876","1,951",59.6%,1.10,1.85,0.00,0.4%,0.0%,"7,410","5,316",5,62,12,77
Riverside CDP,840,27,3.2%,716,525,191,73.3%,1.08,1.46,0.03,0.0%,0.0%,"1,094",769,5,31,0,9
Rocky Point CDP,"5,366",239,4.5%,"4,820","4,010",810,83.2%,0.45,0.54,0.03,0.1%,0.0%,"11,795","2,150",21,84,6,70
Ronkonkoma CDP,"6,724",17,0.3%,"6,512","5,281","1,231",81.1%,0.44,0.54,0.01,0.0%,0.0%,"16,222","2,828",11,55,0,55
Sag Harbor village,"1,941",823,42.4%,"1,000",682,318,68.2%,0.71,1.03,0.02,0.4%,0.0%,"1,449",705,6,24,3,50
Sagaponack village,676,482,71.3%,146,125,21,85.6%,0.33,0.36,0.14,2.8%,0.0%,268,45,3,13,4,5
Saltaire village,459,444,96.7%,15,14,1,93.3%,0.40,0.43,0.00,0.0%,0.0%,31,6,0,0,0,0
